Circolo;name;par;neroCR;neroSlope;biancoCR;biancoSlope;gialloCR;gialloSlope;verdeCR;verdeSlope;bluCR;bluSlope;rossoCR;rossoSlope;arancioCR;arancioSlope
CASTELL'ARQUATO;Prime Nove;36;;;;;35,2;119;33,7;112;;;35,8;124;34,3;118
CASTELL'ARQUATO;Seconde Nove;37;;;;;36,6;129;35;122;;;37,1;135;35,6;129
CASTELLO SPESSA;18 Buche;71;;;;;69,4;133;67,2;128;;;72,6;127;68,1;118
CASTELLO SPESSA;2 Volte 1°Nove;70;;;;;68,4;128;66,4;123;;;71,6;124;;
CASTELLO SPESSA;Prime Nove;35;;;;;34,2;128;33,2;123;;;35,8;124;;
CASTELLO SPESSA;Seconde Nove;36;;;;;35,4;132;34,2;126;;;36,7;127;;
CASTELLO TOLCINASCO;Blu-Giallo;72;;;73,1;138;71,1;133;68;126;74,9;131;71,6;121;68,1;114
CASTELLO TOLCINASCO;Giallo-Rosso;72;;;73,5;138;71,5;133;68,7;127;75,6;133;72,6;124;69,7;118
CASTELLO TOLCINASCO;Prime Nove (Giallo);36;;;36,7;142;35,5;134;34;131;38;132;35,9;120;34;116
CASTELLO TOLCINASCO;Rosso-Blu;72;;;73,2;135;71,5;132;68,7;125;74,6;131;72,3;125;69,1;118
CASTELLO TOLCINASCO;Seconde Nove (Blu);36;;;36,9;135;36;131;34,5;127;37,7;133;36,6;129;35;126
CASTELLO TOLCINASCO;Terze Nove (Rosso);36;;;36,8;134;36;132;34,7;129;37,6;134;36,6;129;35,1;126
CAVAGLIA';18 buche;68;;;;;66,2;129;63,8;123;;;67,9;121;65,5;116
CAVAGLIA';9 buche;35;;;;;33,7;130;32,6;124;;;34,6;120;33,3;114
CENTO;18 Buche;54;;;;;54,7;91;53,2;88;;;57,1;87;57,1;87
CENTO;Prime Nove;27;;;;;27,4;91;26,6;88;;;28,6;87;;
CERVIA;9 Buche Blu;36;;;35,9;130;35,2;125;34,2;120;;;35,5;121;34,6;117
CERVIA;9 buche Giallo;35;;;;;35,2;124;33,9;118;;;35,6;120;34,5;116
CERVIA;9 Buche Rosso;36;;;36,9;128;36,4;126;34,9;119;;;37;120;35,8;115
CERVIA;Blu-Giallo;71;;;72,3;132;70,5;124;68,2;119;73,5;126;71,1;121;69,1;117
CERVIA;Rosso-Blu;72;;;72,9;129;71,7;125;69,1;119;74,7;125;72,5;120;70,4;116
CERVIA;Rosso-Giallo;71;;;73,3;131;71,6;125;68,7;118;74,6;124;72,6;120;70,3;116
CERVINO;18 Buche;69;;;68,7;129;68;128;65,9;123;70,4;130;69,9;128;67,1;122
CERVINO;9 Buche;68;;;;;65;112;;;;;66,5;114;;
CHERASCO;18 Buche;72;;;71,7;132;70,8;131;68,4;125;74,3;130;73,2;128;70,6;123
CHERASCO;Prime Nove;36;;;36,6;133;36,1;130;34,8;127;37,8;131;37,2;129;35,9;126
CHERASCO;Seconde Nove;36;;;35,1;131;34,7;131;33,6;128;36,5;129;36;127;34,7;124
CILIEGI;Cherries;68;;;;;65,2;117;;;;;67,1;112;;
CILIEGI;Cherries 1 Nove;34;;;;;32,5;116;;;;;33,5;112;;
CILIEGI;Cherries 2 Nove;34;;;;;32,7;117;;;;;33,6;112;;
CILIEGI;I Ciliegi;72;;;71,7;138;70,2;128;68,2;123;73,9;128;71,9;125;69,5;120
CILIEGI;Prime Nove;36;;;35,8;138;35;128;34;123;36,9;128;35,9;125;34,7;120
CILIEGI;Seconde Nove;36;;;36;139;35,2;129;34,2;124;37,1;129;36;125;34,8;120
CITTA' D'ASTI;18 Buche;66;;;;;65;110;62,8;105;;;66,2;111;63,6;106
CITTA' D'ASTI;Prime Nove;33;;;;;32,5;110;31,4;107;;;33,1;111;31,8;108
CLAVIERE;18 Buche;64;;;65,7;116;64,9;118;63,3;114;67,1;126;65,9;124;65,9;124
CLAVIERE;Claviere-Montg.;68;;;69,4;124;67,9;120;;;69,3;117;68,7;116;;
CLAVIERE;Nove Buche;32;;;;;32,5;118;31,6;114;;;33;124;;
COLLI BERGAMO;18 buche;60;;;;;62;113;61,1;111;;;61,8;107;;
COLLI BERGAMO;9 buche;30;;;;;31;113;30,6;111;;;30,9;107;;
COLLI BERICI;18 Buche;70;;;70,8;134;69,7;131;67,2;125;73,2;126;71,6;123;68,3;116
COLLI BERICI;Due volte le Seconde Nove;68;;;;;67,2;131;64,8;125;;;69;123;65,8;116
COLLI BERICI;Prime Nove;36;;;;;36,4;130;35,1;124;;;37,1;123;35,5;116
COLLI BERICI;prime nove 2 volte;72;;;;;72,8;130;70,2;124;;;74,2;123;71;116
COLLI BERICI;Seconde Nove;34;;;;;33,6;131;32,4;125;;;34,5;123;32,9;116
COLLINE GAVI;18 Buche 2020;72;;;74,3;139;72,7;135;70,1;129;77,3;140;74,8;135;72,4;130
COLLINE GAVI;Executive 9 Buche;31;;;;;30,6;113;30,2;111;;;31,2;102;;
COLLINE GAVI;Prime Nove 2020;36;;;37,3;142;36,3;138;35,1;132;;;37,2;139;36,1;134
COLLINE GAVI;Seconde Nove;36;;;37;135;36,4;133;35,1;127;;;37,6;132;36,3;127
COLOMBARO;18 Buche;58;;;;;57,8;98;56,2;94;;;55,7;85;55,7;85
COLOMBARO;Prime Nove;29;;;;;28,9;99;28,1;95;;;27,8;85;;
COLOMBARO;Seconde Nove;29;;;;;28,9;99;;;;;27,8;85;;
COLOMBERA;AZZURRO;34;;;;;32,3;113;30,6;108;;;32,9;116;;
COLOMBERA;NEW (ROSA/AZZURRO);67;;;65;119;64,3;114;60,8;106;66,8;117;65,5;116;;
COLOMBERA;OLD (VIOLA/ROSA);66;;;64,5;117;63,8;112;60,3;104;66;116;64,7;115;;
COLOMBERA;ROSA;33;;;;;32;114;30,2;104;;;32,6;115;;
COLOMBERA;VIOLA;33;;;;;31,8;110;30,1;105;;;32,1;113;;
CONERO;18 Buche;71;;;71,4;131;70,2;129;67,5;123;74,4;127;73,3;125;70,4;119
CONERO;Prime Nove;35;;;;;34,9;132;33,5;126;;;36,3;126;;
CONERO;Seconde Nove;36;;;;;35,4;126;34;120;;;37;123;;
CONTINENTAL VERBANIA;18 buche Mergozzo+Executive;61;;;58,1;106;57,4;104;55,1;99;58,5;100;57,6;98;;
CONTINENTAL VERBANIA;MERGOZZO;34;;;32,6;122;31,9;118;30,3;110;32,9;115;32;112;;
CONTINENTAL VERBANIA;Mergozzo 18 Buche;68;;;65,2;122;63,8;118;60,6;110;65,8;115;64;112;;
CORTINA;18 Buche;70;;;69,8;125;68,2;124;66,4;120;71,2;120;69,4;114;68,5;112
CORTINA;18 Buche Misto;70;;;;;68,9;125;66,4;120;;;70,3;116;68,6;112
CORTINA;9 Buche;35;;;34,9;125;34,1;124;33,2;120;35,6;120;34,7;114;34,3;112
COSMOPOLITAN;1° Nove 2 volte;72;;;;;72,8;131;69,2;123;;;74,8;131;;
COSMOPOLITAN;18 Buche;72;;;73,4;134;72;133;70,5;130;74,8;136;73,8;133;72,2;130
COSMOPOLITAN;2° Nove 2 volte;72;;;;;71,2;135;67,4;126;;;72,8;135;;
COSMOPOLITAN;b.12 chiusa 71;71;;;;;70,8;130;67,3;122;;;72,5;130;;
COSMOPOLITAN;Prime Nove;36;;;;;36,4;131;35,6;127;;;37,4;131;36,5;127
COSMOPOLITAN;Seconde Nove;36;;;;;35,6;135;35;132;;;36,4;135;35,8;132
COURMAYEUR;18 Buche Par 70 Standard;70;;;;;69;122;66,4;116;;;69,7;125;67,3;120
COURMAYEUR;Prime Nove 2015;35;;;;;34,7;122;33,2;118;;;35,1;126;33,7;123
COURMAYEUR;Seconde Nove 2015;35;;;;;34,3;121;33,2;119;;;34,6;124;33,4;121
CREMA;D.10-18+Mummy;72;;;;;70,1;126;67,7;122;;;70,5;126;;
CREMA;D.1-9+Mummy;71;;;;;68,9;125;66,5;118;;;69,8;123;;
CREMA;Daddy;73;;;74,8;135;72,8;131;70,3;125;76,8;135;73,5;130;71,6;126
CREMA;daddy;73;;;74,8;135;72,8;131;;;76,8;135;73,5;130;73,5;130
CREMA;Mummy 18;70;;;;;66,2;120;63,9;115;;;66,8;119;;
CREMA;Mummy 9;35;;;;;33,1;120;31,9;115;;;33,4;119;;
CREMA;Prime Nove;36;;;36,9;131;35,8;129;34,6;126;38;132;36,4;126;34,7;123
CREMA;Seconde Nove;37;;;38;139;37;133;35,8;129;38,9;137;37,1;133;;
CROARA;18 Buche;72;;;;;71,5;132;68,7;126;;;73,9;130;70,5;123
CROARA;18 buche provv. B-17 Par 3;70;;;;;69,9;128;66,6;120;;;72,1;126;;
CROARA;Prime Nove;36;;;;;36,1;131;34,7;124;;;36,8;126;35,1;119
CROARA;Provvisorio 18 buche (1-2-3-4-5-6-7-13-18);72;;;;;71;124;67,9;117;;;73;125;;
CROARA;Provvisorio 18 buche Par 68;68;;;;;66,9;121;;;;;69;120;;
CROARA;Provvisorio 9 buche (1-2-3-4-5-6-7-13-18);36;;;;;35,5;124;34;117;;;36,5;125;;
CROARA;Seconde Nove;36;;;;;35,4;133;34;127;;;37,1;134;35,4;127
CUS FERRARA;18 Buche;68;;;;;67,8;116;65,2;110;;;68,9;111;66,3;106
CUS FERRARA;9 Buche OLD Course;33;;;;;32,8;112;31,4;109;;;33,5;107;32,4;105
CUS FERRARA;Prime Nove;34;;;;;33,2;122;31,9;119;;;33,7;109;32,5;107
CUS FERRARA;Seconde Nove;34;;;;;34,5;111;33,3;108;;;35,2;112;33,8;109
DES ILES BORROMEES;18 Buche;72;;;72,2;135;70,5;132;67,4;125;73,9;131;72,4;129;68,8;122
DES ILES BORROMEES;Prime Nove;36;;;36,1;132;35,5;128;33,9;124;36,9;132;36,5;131;34,4;127
